🚀 Server started on port 3000

 ┌───────────────────────────────────────────────────┐ 
 │                   Fiber v2.52.6                   │ 
 │               http://127.0.0.1:3000               │ 
 │       (bound on host 0.0.0.0 and port 3000)       │ 
 │                                                   │ 
 │ Handlers ............ 33  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID .............. 1068 │ 
 └───────────────────────────────────────────────────┘ 

[MATCH] 00:18:08 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:18 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:18 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:28 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:28 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:38 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:38 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:48 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:48 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:58 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:18:58 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:08 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:08 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:18 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:18 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:28 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:28 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:38 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:38 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
[MATCH] 00:19:48 matching.go:57: 有效买入订单数量: 1, 有效卖出订单数量: 1
